Time:ulong,Current:uinteger,Voltage:uinteger
"8954892000","1077800","3276"
"8955971000","1077800","3276"
"8957050000","1077800","3276"
"8958384000","1077800","3276"
"8959462000","1098900","3276"
"8960541000","1098900","3276"
"8961619000","1098900","3276"
"8962704000","1098900","3276"
"8964038000","1098900","3276"
"8965116000","1098900","3276"
"8966195000","1098900","3276"
"8967274000","1098900","3276"
"8968352000","1877800","3276"
"8969687000","1877800","3276"
"8970765000","1877800","3276"
"8971843000","1877800","3276"
"8972931000","1877800","3276"
"8974010000","1877800","3276"
"8975343000","1877800","3276"
"8976423000","1868700","3276"
"8977501000","1868700","3276"
"8978579000","1868700","3276"
"8979658000","1868700","3276"
"8980934000","1868700","3276"
"8982076000","1868700","3276"
"8983155000","1868700","3276"
"8984233000","1868700","3276"
"8985311000","1695400","3276"
"8986644000","1695400","3276"
"8987722000","1695400","3276"
"8988800000","1695400","3276"
"8989879000","1695400","3276"
"8990958000","1695400","3276"
"8992298000","1695400","3276"
"8993377000","1695400","3276"
"8994455000","1695400","3276"
"8995534000","1695400","3276"
"8996613000","1695400","3276"
"8997946000","1243300","3276"
"8999025000","1243300","3276"
"9000104000","1243300","3276"
"9001182000","1243300","3276"
"9002266000","1243300","3276"
"9003601000","1243300","3276"
"9004679000","1243300","3276"
"9005758000","1243300","3276"
"9006836000","1243300","3276"
"9007915000","1243300","3276"
"9009249000","1243300","3276"
"9010328000","1259600","3276"
"9011406000","1259600","3276"
"9012490000","1259600","3276"
"9013570000","1259600","3276"
"9014909000","1259600","3276"
"9015987000","1259600","3276"
"9017066000","1259600","3276"
"9018146000","1259600","3276"
"9019224000","1259600","3276"
"9020557000","1259600","3276"
"9021636000","1259600","3276"
"9022720000","1249200","3276"
"9023799000","1249200","3276"
"9024878000","1249200","3276"
"9026211000","1249200","3276"
"9027290000","1249200","3276"
"9028369000","1249200","3276"
"9029447000","1249200","3276"
"9030526000","1249200","3276"
"9031860000","1249200","3276"
"9032945000","1249200","3276"
"9034024000","1249200","3276"
"9035102000","1250100","3276"
"9036181000","1250100","3276"
"9037515000","1250100","3276"
"9038593000","1250100","3276"
"9039671000","1250100","3276"
"9040750000","1250100","3276"
"9041829000","1250100","3276"
"9043168000","1250100","3276"
"9044247000","1250100","3276"
"9045326000","1250100","3276"
"9046404000","1250100","3276"
"9047483000","1250300","3276"
"9048818000","1250300","3276"
"9049897000","1250300","3276"
"9050975000","1250300","3276"
"9052059000","1250300","3276"
"9053138000","1250300","3276"
"9054414000","1250300","3276"
"9055550000","1250300","3276"
"9056633000","1250300","3276"
"9057711000","1539400","3276"
"9058790000","1539400","3276"
"9060124000","1539400","3276"
"9061203000","1539400","3276"
"9062288000","1539400","3276"
"9063366000","1539400","3276"
"9064445000","1539400","3276"
"9065779000","1539400","3276"
"9066858000","1539400","3276"
"9067936000","1471700","3276"
"9069015000","1471700","3276"
"9070094000","1471700","3276"
"9071428000","1471700","3276"
"9072512000","1471700","3276"
"9073591000","1471700","3276"
"9074669000","1471700","3276"
"9075749000","1471700","3276"
"9077025000","1471700","3276"
"9078161000","1471800","3276"
"9079239000","1471800","3276"
"9080318000","1471800","3276"
"9081396000","1471800","3276"
"9082736000","1471800","3276"
"9083814000","1471800","3275"
"9084892000","1471800","3275"
"9085971000","1471800","3275"
"9087050000","1471800","3275"
"9088382000","1483600","3275"
"9089461000","1483600","3275"
"9090540000","1483600","3275"
